transaction_id,account_id,transaction_date,amount,transaction_type,branch_id,description
T469004,A71664,2024-01-31,311.88,debit,B8,Transaction Description
T450015,A18180,2024-01-31,194.61,credit,B2,Transaction Description
T800557,A36156,2024-01-31,854.1,debit,B5,Transaction Description
T667981,A41657,2024-01-31,171.28,credit,B8,Transaction Description
T292441,A68373,2024-01-31,471.26,credit,B9,Transaction Description
T891066,A71975,2024-01-31,286.27,debit,B2,Transaction Description
T180739,A31455,2024-01-31,288.98,debit,B6,Transaction Description
T682738,A77399,2024-01-31,512.04,debit,B5,Transaction Description
T257190,A17897,2024-01-31,649.2,credit,B6,Transaction Description
T670085,A66548,2024-01-31,183.09,credit,B5,Transaction Description
T266619,A75745,2024-01-31,899.56,credit,B8,Transaction Description
,A74815,2024-01-31,457.67,debit,B1,Transaction Description
T824050,A56971,2024-01-31,131.45,credit,B4,Transaction Description
T190750,A38158,2024-01-31,317.63,debit,B5,Transaction Description
T952032,A12062,2024-01-31,165.55,credit,B5,Transaction Description
T743867,A42534,2024-01-31,380.33,credit,B5,Transaction Description
T664343,A49286,2024-01-31,978.02,debit,B5,Transaction Description
T404717,A29640,2024-01-31,232.55,debit,B10,Transaction Description
T530593,A13529,2024-01-31,186.72,credit,B5,Transaction Description
T797145,A25562,2024-01-31,913.01,debit,B8,Transaction Description
,A33561,2024-01-31,534.2,debit,B4,Transaction Description
T177215,A45819,2024-01-31,913.02,debit,B6,Transaction Description
T624362,A46157,2024-01-31,720.73,credit,B5,Transaction Description
T952168,A12455,2024-01-31,748.09,debit,B2,Transaction Description
T422739,A61838,2024-01-31,452.71,credit,B6,Transaction Description
T407628,A99802,2024-01-31,394.09,debit,B4,Transaction Description
T921429,A82732,2024-01-31,432.0,debit,B9,Transaction Description
T965451,A51573,2024-01-31,208.8,debit,B3,Transaction Description
T943089,A97664,2024-01-31,793.65,credit,B10,Transaction Description
T491099,A85988,2024-01-31,862.44,debit,B1,Transaction Description
T801573,A82437,2024-01-31,654.02,debit,B9,Transaction Description
T822965,A41738,2024-01-31,184.01,debit,B3,Transaction Description
T100872,A67581,2024-01-31,101.02,credit,B2,Transaction Description
T571402,A79268,2024-01-31,919.88,credit,B3,Transaction Description
T532368,A29025,2024-01-31,973.06,debit,B5,Transaction Description
T106782,A95729,2024-01-31,866.77,credit,B2,Transaction Description
,A21462,2024-01-31,812.29,credit,B4,Transaction Description
T283312,A59036,2024-01-31,661.13,debit,B9,Transaction Description
T258465,A31506,2024-01-31,401.89,debit,B3,Transaction Description
T723694,A73846,2024-01-31,967.34,debit,B4,Transaction Description
T298470,A85867,2024-01-31,316.44,credit,B8,Transaction Description
T589838,A48278,2024-01-31,346.1,debit,B5,Transaction Description
T299816,A52944,2024-01-31,382.96,credit,B8,Transaction Description
T288738,A49794,2024-01-31,213.93,debit,B6,Transaction Description
T156269,A62942,2024-01-31,155.61,debit,B3,Transaction Description
T532606,A79957,2024-01-31,900.83,debit,B1,Transaction Description
T857158,A80365,2024-01-31,227.3,debit,B6,Transaction Description
T625820,A64592,2024-01-31,219.78,debit,B8,Transaction Description
T143217,A39752,2024-01-31,804.65,debit,B5,Transaction Description
T148829,A99169,2024-01-31,582.74,credit,B1,Transaction Description
T419364,A73136,2024-01-31,920.74,credit,B4,Transaction Description
T195564,A62770,2024-01-31,486.89,credit,B3,Transaction Description
T999360,A60096,2024-01-31,384.9,debit,B10,Transaction Description
T548197,A22128,2024-01-31,633.7,credit,B3,Transaction Description
T204543,A24993,2024-01-31,574.6,debit,B6,Transaction Description
T313535,A88847,2024-01-31,751.87,credit,B7,Transaction Description
T306924,A11929,2024-01-31,905.01,debit,B7,Transaction Description
T329754,A30379,2024-01-31,139.19,credit,B10,Transaction Description
T850197,A90796,2024-01-31,709.49,debit,B6,Transaction Description
T872271,A18544,2024-01-31,821.36,debit,B7,Transaction Description
T494595,A84935,2024-01-31,241.75,debit,B6,Transaction Description
T985551,A31811,2024-01-31,193.83,debit,B4,Transaction Description
,A26594,2024-01-31,646.81,debit,B3,Transaction Description
T427960,A50529,2024-01-31,226.79,credit,B4,Transaction Description
T509114,A74728,2024-01-31,753.72,debit,B5,Transaction Description
T377201,A73797,2024-01-31,921.47,credit,B8,Transaction Description
T793153,A71194,2024-01-31,711.58,debit,B7,Transaction Description
T885714,A80457,2024-01-31,204.19,debit,B9,Transaction Description
T929371,A52928,2024-01-31,984.59,credit,B1,Transaction Description
T518616,A56228,2024-01-31,749.57,credit,B3,Transaction Description
T260707,A81558,2024-01-31,508.66,credit,B1,Transaction Description
T499498,A19614,2024-01-31,190.43,credit,B5,Transaction Description
T539288,A21406,2024-01-31,984.5,debit,B9,Transaction Description
T980322,A30807,2024-01-31,925.19,debit,B6,Transaction Description
T890757,A75398,2024-01-31,350.37,credit,B7,Transaction Description
T669980,A54795,2024-01-31,203.92,debit,B1,Transaction Description
T491155,A31612,2024-01-31,662.19,credit,B6,Transaction Description
T197027,A12383,2024-01-31,772.59,debit,B1,Transaction Description
T328913,A47431,2024-01-31,438.84,credit,B5,Transaction Description
T311250,A10769,2024-01-31,587.12,debit,B8,Transaction Description
,A26747,2024-01-31,724.05,debit,B2,Transaction Description
T311671,A96101,2024-01-31,912.91,debit,B3,Transaction Description
T453919,A73809,2024-01-31,646.94,credit,B5,Transaction Description
T176456,A70694,2024-01-31,685.67,credit,B8,Transaction Description
T160014,A95709,2024-01-31,182.34,credit,B2,Transaction Description
T468725,A86912,2024-01-31,989.1,debit,B6,Transaction Description
T457388,A72047,2024-01-31,930.64,debit,B1,Transaction Description
T166482,A44985,2024-01-31,264.58,debit,B1,Transaction Description
T779910,A73939,2024-01-31,308.68,debit,B10,Transaction Description
T261791,A19161,2024-01-31,440.92,credit,B6,Transaction Description
T935542,A34419,2024-01-31,422.36,credit,B4,Transaction Description
T408779,A35528,2024-01-31,497.38,debit,B9,Transaction Description
T705339,A74951,2024-01-31,433.69,credit,B4,Transaction Description
T448201,A20949,2024-01-31,188.94,credit,B1,Transaction Description
T552455,A70063,2024-01-31,360.91,credit,B1,Transaction Description
T413448,A92222,2024-01-31,266.13,credit,B8,Transaction Description
T737788,A54287,2024-01-31,638.72,debit,B5,Transaction Description
T585742,A32490,2024-01-31,912.46,debit,B7,Transaction Description
T232977,A82332,2024-01-31,930.89,debit,B3,Transaction Description
T593308,A56301,2024-01-31,589.11,credit,B3,Transaction Description
